ref,marque,nom,rayon,famille,prix,icone,dispo,cap,specs,photo,photos,actif,description
REFAST57-FSS579,Astech,réfrigérateur Astech side by side 4portes avec dist d'eau gris fss579fdam,froid,Réfrigérateurs,497000,frigo,jour,,Couleur: Gris | Garantie: 12 mois,images/REFAST57-FSS579-1.jpg,images/REFAST57-FSS579-1.jpg;images/REFAST57-FSS579-2.jpg,oui,Modele : FSS579FDAM Classe : inverter/no frost Caracteristique : Fontaine Dimension : Long 1m80/Large 79cm Profondeur : 73cm Capacité Capacité totale effective (L) 579 Capacité effective du réfrigérateur (L) 328 Capacité effective du congélateur (L) 203 Caractéristique générale Matériau de la porte Métal Classe climatique SN/N/ST/T Classement par étoiles 4 Type de refroidissement Total sans givre Lampe intérieure Oui Puissance de la lampe (W) 3 Jambe réglable Oui Poignée encastrée Serrure/Clé Non Couleur GRIS Réfrigérant R600a
REFAST67-FSS673,Astech,réfrigérateur Astech side by side 4portes No Frost gris fss673fdin,froid,Réfrigérateurs,572000,frigo,jour,,Couleur: Gris | Garantie: 12 mois,images/REFAST67-FSS673-1.jpg,images/REFAST67-FSS673-1.jpg;images/REFAST67-FSS673-2.png,oui,"Marque: ASTECH 
Modèle: FSS-673FD-IN 
Type de produit: réfrigérateur side by side 4 portes avec contrôle digital 
Classe énergétique: A++/No frost 
Compresseur inverter 
Total capacité: 601 litres 
Couleur: gris 
Hauteur 1m76 
Largeur 91cm 
Profondeur 74cm"
REFAST74-FV740D,Astech,réfrigérateur Astech vitrine 2portes 740 litres fv740ddgr,froid,Réfrigérateurs,662000,frigo,jour,740 L,Capacité: 740 L | Garantie: 12 mois,images/REFAST74-FV740D-1.png,images/REFAST74-FV740D-1.png,oui,Nombre de portes 2 classe climatique T Modèle FV740DDGR Capacité 700LITRES Eclairage oui Température réglable Oui Pied Vis réglables Oui Poids 110/120 Dimensions 1000*590*1970 Plage de température (C) 0-12C Defrost automatic Tension / Fréquence 220 V / 50 Hz Gaz réfrigérant R134a Porte vitre Verrouillage Oui Ventilateur interne Oui
REFBEK1P-RLNE45,Beko,réfrigérateur Beko 1porte 450 litres No Frost gris rlne451xb,froid,Réfrigérateurs,419300,frigo,jour,450 L,Capacité: 450 L | Couleur: Gris | Garantie: 12 mois,images/REFBEK1P-RLNE45-1.jpg,images/REFBEK1P-RLNE45-1.jpg;images/REFBEK1P-RLNE45-2.png,oui,"Réfrigérateur Beko 1 porte de 450 litres, coloris gris. Technologie No Frost : pas de formation de givre, donc aucun dégivrage manuel à faire. Clayettes réglables et bac à légumes. Garantie 12 mois, facture à notre nom. Livraison à Dakar, paiement à la livraison."
REFBEK32-RDS32S,Beko,réfrigérateur Beko 2portes 230 litres gris rdsa32sx,froid,Réfrigérateurs,202000,frigo,jour,230 L,Capacité: 230 L | Couleur: Gris | Garantie: 12 mois,images/REFBEK32-RDS32S-1.jpg,images/REFBEK32-RDS32S-1.jpg;images/REFBEK32-RDS32S-2.png,oui,"Réfrigérateur Beko 2 portes de 230 litres, coloris gris. Clayettes réglables et bac à légumes. Garantie 12 mois, facture à notre nom. Livraison à Dakar, paiement à la livraison."
REFBEK35-RDSA35,Beko,réfrigérateur Beko 2portes 250 litres gris rdsa35s,froid,Réfrigérateurs,112000,frigo,jour,250 L,Capacité: 250 L | Couleur: Gris | Garantie: 12 mois,images/REFBEK35-RDSA35-1.jpg,images/REFBEK35-RDSA35-1.jpg;images/REFBEK35-RDSA35-2.jpg,oui,"Réfrigérateur Beko 2 portes de 250 litres, coloris gris. Clayettes réglables et bac à légumes. Garantie 12 mois, facture à notre nom. Livraison à Dakar, paiement à la livraison."
REFBEK30-E30000,Beko,réfrigérateur Beko 2portes 300 litres gris dse30000s,froid,Réfrigérateurs,200000,frigo,jour,300 L,Capacité: 300 L | Couleur: Gris | Garantie: 12 mois,images/REFBEK30-E30000-1.jpg,images/REFBEK30-E30000-1.jpg;images/REFBEK30-E30000-2.jpg;images/REFBEK30-E30000-3.jpg,oui,Type d'installation : Pose libre Type de produit : Doubles portes Classe d'efficacité énergétique A Hauteur : 174 cm Largeur : 59.5 cm Profondeur : 60 cm Type de froid : Statique Freezer Position Freezer Top Couleur New Silver – ARC 1035 Product Series : b100
REFBEK43-DSA43S,Beko,réfrigérateur Beko 2portes 306 litres gris dsa43s,froid,Réfrigérateurs,299000,frigo,jour,306 L,Capacité: 306 L | Couleur: Gris | Garantie: 12 mois,images/REFBEK43-DSA43S-1.png,images/REFBEK43-DSA43S-1.png;images/REFBEK43-DSA43S-2.jpg,oui,"MARQUE : BEKO 
TYPE DE PRODUIT : REFRIGERATEUR 2 PORTES 
VOLUME TOTAL : 306 LITRES 
CLASSE ENERGETIQUE : A+ 
REFERENCE : DSA43S 
Dimension (cm) 
Hauteur 175 
Largeur 59.5 
Profondeur 59.2"
REFBEK55-RDN55X,Beko,réfrigérateur Beko 2portes 550 litres No Frost Inox rdne55s,froid,Réfrigérateurs,442000,frigo,jour,550 L,Capacité: 550 L | Couleur: Inox | Garantie: 12 mois,images/REFBEK55-RDN55X-1.jpg,images/REFBEK55-RDN55X-1.jpg;images/REFBEK55-RDN55X-2.jpg;images/REFBEK55-RDN55X-3.jpg,oui,Réfrigérateur 2PORTES 550 Litres Beko RDE55X Classe d'efficacité énergétique : A+ Type de froid : NoFrost Dimension (cm) Largeur : 70 cm Hauteur : 185 Largeur : 70 Profondeur : 65.5 Classe climatique SN-T Tension 220 – 240 V Couleur : Inox Consommation d'énergie quotidienne à 25° C 0.8 kWh/jour Niveau sonore 42 dBA Fréquence 50 Hz Type d'installation Pose libre Type de produit Double portes ProSmart™ Inverter Compressor Yes
REFBEK550-RDSG55,Beko,réfrigérateur Beko 2portes 550 litres rdsg550m20xbr,froid,Réfrigérateurs,442000,frigo,jour,550 L,Capacité: 550 L | Garantie: 12 mois,images/REFBEK550-RDSG55-1.png,images/REFBEK550-RDSG55-1.png;images/REFBEK550-RDSG55-2.png;images/REFBEK550-RDSG55-3.png,oui,"Capacité nette totale : 550 L 
Capacité nette réfrigérateur : 323 L 
Capacité nette congélateur : 115 L 
Classe énergétique : A+ (ancienne classification) 
Réfrigérant : R600a 
Classe climatique : SN-T 
Position du congélateur : En haut 
Dimensions (H × L × P) : 172 × 70 × 66,5 cm 
Type de froid : Statique 
Éclairage intérieur : LED 
Clayette : Verre trempé 
Bac à légumes : Oui 
Balconnets de porte : Oui 
Consommation annuelle : 320 kWh/an 
Niveau sonore : 41 dB 
Couleur : Inox"
REFBEK66-B3RDNE,Beko,réfrigérateur Beko 2portes 590 litres inverter No Frost a++ gris b3rcne66hxb05,froid,Réfrigérateurs,627950,frigo,jour,590 L,Type: Inverter | Capacité: 590 L | Couleur: Gris | Garantie: 12 mois,images/REFBEK66-B3RDNE-1.png,images/REFBEK66-B3RDNE-1.png;images/REFBEK66-B3RDNE-2.jpg;images/REFBEK66-B3RDNE-3.jpg;images/REFBEK66-B3RDNE-4.jpg;images/REFBEK66-B3RDNE-5.jpg,oui,Type d'installation Pose libre Type de produit Double portes Classe d'efficacité énergétique A++ Hauteur : 186 cm Largeur : 78 cm Profondeur : 75 cm Type de froid : NoFrost Freezer Position : Freezer Top Type d'affichage Tact (Membrane) Couleur Gris
REFBEKO2P-RDSA2,Beko,réfrigérateur Beko 2portes blanc rdsa240k20wn,froid,Réfrigérateurs,216500,frigo,jour,,Couleur: Blanc | Garantie: 12 mois,images/REFBEKO2P-RDSA2-1.jpg,images/REFBEKO2P-RDSA2-1.jpg,oui,"Marque: Beko Type de produit Double porte Couleur: Blanc Capacité: 223 Litres Classe climatique SN-ST Tension 220 – 240V Fréquence 50Hz Dimensions (cm) Hauteur 146,5 cm, Longueur 54cm, Profondeur 57,4 cm Capacité de congélation quotidienne (kg/jour) 2.1kg Nom de modèle: Rdsa240k20wn Poids 44 kg Poids avec emballage 48,7 kg Configuration: Congélateur en haut Type d'installation: Autonome Poids: 41500 g Classe d'efficacité énergétique: F Fréquence d'entrée AC: 50 Hz Tension d'entrée AC: 220 – 240 V Niveau sonore: 38 dB Matériau du boîtier/corps: Acier inoxydable Dimensions du colis: ‎143 x 55 x 55 cm; 45 kilogrammes"
REFBEK49-RDNE49,Beko,réfrigérateur Beko 2portes No Frost gris rdne49x,froid,Réfrigérateurs,371150,frigo,jour,,Couleur: Gris | Garantie: 12 mois,images/REFBEK49-RDNE49-1.jpg,images/REFBEK49-RDNE49-1.jpg;images/REFBEK49-RDNE49-2.jpg,oui,"CouleurGRIS Type de refroidissementNo Frost Classe d’efficacité énergétiqueA+ Dimensions (cm) Hauteur 172cm, une offre 70cm, profondeur 65,5cm, le poids 64 kilogrammes, Catégorie climatique SN-T Indécision 50Hz Volume brut total490LITRES Total Net Volume367LITRES Volume net du congélateur93LITRES Volume net du réfrugérateur274LITRES Niveau sonore43 dBA SécuritéAlarme de porte ouverte"
REFBEK66-B5RCNE,Beko,réfrigérateur Beko combine 2tiroirs 660 litres inverter No Frost a++ gris b5rcne66hxb,froid,Réfrigérateurs,751900,frigo,jour,660 L,Type: Inverter | Capacité: 660 L | Couleur: Gris | Garantie: 12 mois,images/REFBEK66-B5RCNE-1.png,images/REFBEK66-B5RCNE-1.png;images/REFBEK66-B5RCNE-2.png;images/REFBEK66-B5RCNE-3.png;images/REFBEK66-B5RCNE-4.png;images/REFBEK66-B5RCNE-5.png,oui,Référence : B5RCNE66H Classe d'efficacité énergétique A++ Type d'installation : Pose libre Type de produit : Combinés Hauteur : 187 cm Largeur : 78 cm Profondeur : 76 cm ProSmart™ Inverter Compressor Yes Type de froid NoFrost Freezer Position Freezer Bottom
REFRIGERATEUR-BEKO-COMBINE-3T-AVEC-DIST-DEAU-GRIS-RCNE560E40DSN,Beko,réfrigérateur Beko combine 3t avec dist d'eau gris rcne560e40dsn,froid,Réfrigérateurs,205000,frigo,jour,,Couleur: Gris | Garantie: 12 mois,images/REFRIGERATEUR-BEKO-COMBINE-3T-AVEC-DIST-DEAU-GRIS-RCNE560E40DSN-1.jpg,images/REFRIGERATEUR-BEKO-COMBINE-3T-AVEC-DIST-DEAU-GRIS-RCNE560E40DSN-1.jpg;images/REFRIGERATEUR-BEKO-COMBINE-3T-AVEC-DIST-DEAU-GRIS-RCNE560E40DSN-2.jpg;images/REFRIGERATEUR-BEKO-COMBINE-3T-AVEC-DIST-DEAU-GRIS-RCNE560E40DSN-3.jpg;images/REFRIGERATEUR-BEKO-COMBINE-3T-AVEC-DIST-DEAU-GRIS-RCNE560E40DSN-4.jpg;images/REFRIGERATEUR-BEKO-COMBINE-3T-AVEC-DIST-DEAU-GRIS-RCNE560E40DSN-5.jpg,oui,"Type :Réfrigérateur avec congélateur / Combiné (congélateur en bas) 
Type de distributeur d'eau : Distributeur d'eau à chargement manuel SlimTank™ 
Type d'affichage : LED 
Type de contrôle : Électronique 
Classe climatique : SN-T 
Tension : 220 – 240V 
Fréquence : 50Hz 
Dimensions : Hauteur 192 cm, Longueur 70cm, Profondeur 74,5 cm, 
Poids 87 kg, Poids avec emballage 94,5 kg 
Type de collecte Installation gratuite 
Type de poignée Poignée intégrée 
Couleur GRIS"
REFBEK3T-344HXB,Beko,réfrigérateur Beko combine 3tiroirs 344 litres No Frost gris b3rcna344hxb,froid,Réfrigérateurs,982000,frigo,jour,344 L,Capacité: 344 L | Couleur: Gris | Garantie: 12 mois,images/REFBEK3T-344HXB-1.jpg,images/REFBEK3T-344HXB-1.jpg;images/REFBEK3T-344HXB-2.png;images/REFBEK3T-344HXB-3.png;images/REFBEK3T-344HXB-4.png,oui,"Réfrigérateur Beko combiné : réfrigérateur en haut, congélateur en bas de 344 litres, coloris gris. 3 tiroirs de rangement. Technologie No Frost : pas de formation de givre, donc aucun dégivrage manuel à faire. Clayettes réglables et bac à légumes. Garantie 12 mois, facture à notre nom. Livraison à Dakar, paiement à la livraison."
REFBEK3T-400HSX,Beko,réfrigérateur Beko combine 3tiroirs 400 litres No Frost gris b3rcna400hsx,froid,Réfrigérateurs,392000,frigo,jour,400 L,Capacité: 400 L | Couleur: Gris | Garantie: 12 mois,images/REFBEK3T-400HSX-1.png,images/REFBEK3T-400HSX-1.png;images/REFBEK3T-400HSX-2.png;images/REFBEK3T-400HSX-3.png;images/REFBEK3T-400HSX-4.png;images/REFBEK3T-400HSX-5.png,oui,"Classe d'efficacité énergétique : A++ 
Type de froid : NoFrost 
Tension : 220 – 240 V 
Fréquence : 50 Hz 
Type d'affichage : Tact (Membrane) 
Dimension (cm) 
Hauteur : 179.6 
Largeur : 59.5 
Profondeur : 66.5 
Type de plateau de cabinet : Transparente 
Nombre de bacs à légumes : 1 
Capacité de la boîte à œufs : 6"
REFBEK3T-300K30,Beko,réfrigérateur Beko combine 3tiroirs 407 litres No Frost b7rcna407zxbr,froid,Réfrigérateurs,392000,frigo,jour,407 L,Capacité: 407 L | Garantie: 12 mois,images/REFBEK3T-300K30-1.png,images/REFBEK3T-300K30-1.png;images/REFBEK3T-300K30-2.png;images/REFBEK3T-300K30-3.png,oui,"Capacité totale : 407 L 
Technologie froid : No Frost 
Technologie fraîcheur : HarvestFresh™, EverFresh+ 
Classe énergétique : A++ 
Classe climatique : SN-T 
Éclairage : LED 
Dimensions (L x H x P), 59.5 x 203.5 x 66.3 cm 
Clayettes : Verre trempé réglables 
Bac à légumes : Oui (EverFresh+) 
Niveau sonore : Très silencieux 
Finition : Inox anti-traces 
Utilisation; : Domestique / familiale"
REFBEK3T-RCNE40,Beko,réfrigérateur Beko combine 3tiroirs 460 litres No Frost gris b5rcne406hxb,froid,Réfrigérateurs,306000,frigo,jour,460 L,Capacité: 460 L | Couleur: Gris | Garantie: 12 mois,images/REFBEK3T-RCNE40-1.jpg,images/REFBEK3T-RCNE40-1.jpg;images/REFBEK3T-RCNE40-2.jpg,oui,"Réfrigérateur Beko combiné : réfrigérateur en haut, congélateur en bas de 460 litres, coloris gris. 3 tiroirs de rangement. Technologie No Frost : pas de formation de givre, donc aucun dégivrage manuel à faire. Clayettes réglables et bac à légumes. Garantie 12 mois, facture à notre nom. Livraison à Dakar, paiement à la livraison."
REFBEK3T-B3RCNE,Beko,réfrigérateur Beko combine 3tiroirs 590 litres No Frost a+ Inox b3rcne590hxb,froid,Réfrigérateurs,435800,frigo,jour,590 L,Capacité: 590 L | Couleur: Inox | Garantie: 12 mois,images/REFBEK3T-B3RCNE-1.png,images/REFBEK3T-B3RCNE-1.png;images/REFBEK3T-B3RCNE-2.png,oui,"Réfrigérateur Beko combiné : réfrigérateur en haut, congélateur en bas de 590 litres, coloris inox. 3 tiroirs de rangement. Technologie No Frost : pas de formation de givre, donc aucun dégivrage manuel à faire. Clayettes réglables et bac à légumes. Garantie 12 mois, facture à notre nom. Livraison à Dakar, paiement à la livraison."
REFBEK40-RCNE73,Beko,réfrigérateur Beko combine 3tiroirs 730 litres inverter No Frost gris rcne730e40,froid,Réfrigérateurs,716900,frigo,jour,730 L,Type: Inverter | Capacité: 730 L | Couleur: Gris | Garantie: 12 mois,images/REFBEK40-RCNE73-1.png,images/REFBEK40-RCNE73-1.png;images/REFBEK40-RCNE73-2.png;images/REFBEK40-RCNE73-3.png;images/REFBEK40-RCNE73-4.png;images/REFBEK40-RCNE73-5.png,oui,"Référence : RCNE730E40 Volume : 730 Litres, Classe Énergétique : A++, POIDS : 76 kg Dimensions H x L x P: 202.5 x 59.5 x 67 cm."
REFBEK3T-RCNA42,Beko,réfrigérateur Beko combine 3tiroirs neo frost a++ gris rcna420sx,froid,Réfrigérateurs,372000,frigo,jour,,Couleur: Gris | Garantie: 12 mois,images/REFBEK3T-RCNA42-1.jpg,images/REFBEK3T-RCNA42-1.jpg;images/REFBEK3T-RCNA42-2.jpg,oui,Classe d'efficacité énergétique A++ Type de produit Combinés Dimension (cm) Hauteur : 185.2 Largeur : 59.5 Profondeur : 67 Capacité de congélation par jour : 6 kg Type de froid : NeoFrost Classe climatique : SN-T Volume brut total 366 L Total Net Volume 324 L Volume net du réfrigérateur 215 L Volume net du congélateur 109 L Zero Degree Compartment Net Volume 30 L Tension : 220 – 240 V Fréquence : 50 Hz Type de plateau de cabinet : Transparente Nombre de bacs à légumes : 1 Capacité de la boîte à œufs : 6
REFBEK44-B3RCHE,Beko,réfrigérateur Beko combine 3tiroirs semi No Frost gris b3rche440hs,froid,Réfrigérateurs,297000,frigo,jour,,Couleur: Gris | Garantie: 12 mois,images/REFBEK44-B3RCHE-1.png,images/REFBEK44-B3RCHE-1.png;images/REFBEK44-B3RCHE-2.png,oui,"Réfrigérateur Beko combiné : réfrigérateur en haut, congélateur en bas, coloris gris. 3 tiroirs de rangement. Technologie No Frost : pas de formation de givre, donc aucun dégivrage manuel à faire. Clayettes réglables et bac à légumes. Garantie 12 mois, facture à notre nom. Livraison à Dakar, paiement à la livraison."
REFBEK14-DS1400,Beko,réfrigérateur Beko combine 4tiroirs avec fontaine gris ch140020sx,froid,Réfrigérateurs,430000,frigo,jour,,Couleur: Gris | Garantie: 12 mois,images/REFBEK14-DS1400-1.jpg,images/REFBEK14-DS1400-1.jpg;images/REFBEK14-DS1400-2.jpg;images/REFBEK14-DS1400-3.jpg,oui,Totale nette de capacité 340LITRES Total de capacité brute 400lITRES Capacité congélateur Net 222LITRES Classe d’efficacité énergétique A + Largeur 70 cm Profondeur 69 cm Unité Hauteur 191 cm Classe d’efficacité énergétique A + Frais d’un compartiment non de la zone Consommation annuelle d’énergie 348 kWh Structure permanente fonction anti-bactérienne oui
REFBEK31-BSSA31,Beko,réfrigérateur Beko encastrable 1porte 320 litres No Frost blanc bssa315k3sn,froid,Réfrigérateurs,391900,frigo,jour,320 L,Type: Encastrable | Capacité: 320 L | Couleur: Blanc | Garantie: 12 mois,images/REFBEK31-BSSA31-3.png,images/REFBEK31-BSSA31-3.png;images/REFBEK31-BSSA31-1.jpg;images/REFBEK31-BSSA31-2.png;images/REFBEK31-BSSA31-4.png,oui,"Réfrigérateur Beko 1 porte de 320 litres, coloris blanc. Technologie No Frost : pas de formation de givre, donc aucun dégivrage manuel à faire. Clayettes réglables et bac à légumes. Garantie 12 mois, facture à notre nom. Livraison à Dakar, paiement à la livraison."
REFBEK16-16402B,Beko,réfrigérateur Beko side by side 2portes 640 litres a++ noir gn164020gb,froid,Réfrigérateurs,850000,frigo,jour,640 L,Capacité: 640 L | Couleur: Noir | Garantie: 12 mois,images/REFBEK16-16402B-1.webp,images/REFBEK16-16402B-1.webp;images/REFBEK16-16402B-2.webp;images/REFBEK16-16402B-3.webp,oui,"Classe d'efficacité énergétique A++ ProSmart™ Inverter Compressor Dimension (cm) Hauteur 179 Largeur 91 Profondeur 70.5 Plus performant, plus silencieux et plus économe Type de froidNoFrost Compartiment – EverFresh+®Pour des fruits et légumes frais jusqu'à 30 jours Freezer PositionFreezer Side Type d'affichageLED Couleur : Noir – Verre Volume brut total640 L Total Net Volume558 L Volume net du réfrigérateur368 L Volume net du congélateur190 L ﻿Simulation du cycle solaire naturel de 24 heures Les réfrigérateurs-congélateurs HarvestFresh™ de Beko utilisent une technologie d'éclairage innovante à 3 couleurs dans le bac à légumes pour imiter intelligemment le cycle solaire de 24 heures, préservant les vitamines des fruits et légumes plus longtemps**. Ainsi, vous pouvez profiter d'un mode de vie plus sain avec des repas plus nutritifs que jamais."
REFCAC11-CAC110,Cac,réfrigérateur cac 2portes 110 litres gris cac110,froid,Réfrigérateurs,116900,frigo,jour,110 L,Capacité: 110 L | Couleur: Gris | Garantie: 12 mois,images/REFCAC11-CAC110-1.jpg,images/REFCAC11-CAC110-1.jpg;images/REFCAC11-CAC110-2.png;images/REFCAC11-CAC110-3.png,oui,"Réfrigérateur Cac 2 portes de 110 litres, coloris gris. Clayettes réglables et bac à légumes. Garantie 12 mois, facture à notre nom. Livraison à Dakar, paiement à la livraison."
REFCAC16-CAC160,Cac,réfrigérateur cac combine 2tiroirs 120 litres cac160,froid,Réfrigérateurs,141700,frigo,jour,120 L,Capacité: 120 L | Garantie: 12 mois,images/REFCAC16-CAC160-1.jpg,images/REFCAC16-CAC160-1.jpg;images/REFCAC16-CAC160-2.jpg,oui,Marque : CAC Réfrigérateur Combiné CAC – 2Tiroirs – 120L Type de produit : Réfrigeteur Catégorie : Combiné Volume Total : 120 Litres Nombre D’étagères : 2 DIMENSION : 494mm x 464mm x 1300mm Classe Climatique : T Tension: 220 – 240 V 50Hz Poids : 27kg
REFRIGERATEUR-CAC-COMBINE-3TIROIRS-200LITRES-CAC172,Cac,réfrigérateur cac combine 3tiroirs 200 litres cac172,froid,Réfrigérateurs,157000,frigo,jour,200 L,Capacité: 200 L | Garantie: 12 mois,images/REFRIGERATEUR-CAC-COMBINE-3TIROIRS-200LITRES-CAC172-1.jpg,images/REFRIGERATEUR-CAC-COMBINE-3TIROIRS-200LITRES-CAC172-1.jpg;images/REFRIGERATEUR-CAC-COMBINE-3TIROIRS-200LITRES-CAC172-2.jpg,oui,"REFRIGERATEUR CAC 
 COMBINE 
 3 TIROIRS 
 200 LITRES 
 MODELE CAC172"
REFCAC250-CAC5T,Cac,réfrigérateur cac combine 5tiroirs 250 litres gris cac5t250r,froid,Réfrigérateurs,225000,frigo,jour,250 L,Capacité: 250 L | Couleur: Gris | Garantie: 12 mois,images/REFCAC250-CAC5T-1.jpg,images/REFCAC250-CAC5T-1.jpg;images/REFCAC250-CAC5T-2.jpg,oui,REFRIGERATEUR CAC COMBINE 5TIROIRS REFERENCE : CAC5T 250L COULEUR : GRIS CAC Réfrigérateur se distingue par sa capacité de 250 L qui vous permet de stocker une grande quantité de produits alimentaires. Il répondra à vos besoins.
REFRIGERATEUR-CAC-COMBINE-5TIROIRS-250L-GRIS-CAC5T,Cac,réfrigérateur cac combine 5tiroirs 250l gris cac5t,froid,Réfrigérateurs,225000,frigo,jour,,Couleur: Gris | Garantie: 12 mois,images/REFRIGERATEUR-CAC-COMBINE-5TIROIRS-250L-GRIS-CAC5T-1.jpg,images/REFRIGERATEUR-CAC-COMBINE-5TIROIRS-250L-GRIS-CAC5T-1.jpg;images/REFRIGERATEUR-CAC-COMBINE-5TIROIRS-250L-GRIS-CAC5T-2.jpg,oui,"REFRIGERATEUR CAC COMBINE 5TIROIRS 
REFERENCE : CAC5T 
250L 
COULEUR : GRIS"
REFDES97-SD97DK,Deska,réfrigérateur Deska bar 1porte sd97dk,froid,Réfrigérateurs,71000,frigo,jour,,Garantie: 12 mois,images/REFDES97-SD97DK-1.png,images/REFDES97-SD97DK-1.png;images/REFDES97-SD97DK-2.png,oui,MARQUE : DESKA BAR 1PORTE REFERENCE : SD-97DK Courant : (A) : 0.6 Climate Type : ST/T DIMENSIONS : HAUTEUR : 80cm LARGEUR : 45cm PROFONDEUR : 42cm Voltage : 220-240 Refrigerant : R600a Frequence : (HZ) : 50 Poids : 17kg
REFDES11-RF110D,Deska,réfrigérateur Deska bar 2portes noir gris tm110dk,froid,Réfrigérateurs,86000,frigo,jour,,Couleur: Gris | Garantie: 12 mois,images/REFDES11-RF110D-1.jpg,images/REFDES11-RF110D-1.jpg;images/REFDES11-RF110D-2.jpg,oui,Type de produit: Réfrigérateur bar 2 portes Marque Deska Capacité brute: 85 litres Classe énergétique: A CLIMATE TYPE : ST/T VOLTAGE : 220-240 / FREQUENCE : 50 Dimensions : 423x413x982mm Nombre de portes: 2 Modèle: TM-110DK Couleur: GRIS Poids : 17kg
REFDES10-TM103D,Deska,réfrigérateur Deska bar 2portes pm gris tm103dk,froid,Réfrigérateurs,77000,frigo,jour,,Couleur: Gris | Garantie: 12 mois,images/REFDES10-TM103D-1.png,images/REFDES10-TM103D-1.png;images/REFDES10-TM103D-2.png,oui,"MARQUE : DESKA REFERENCE : TM103DK CLIMATE TYPE : ST/T VOLUME : 75LITRES VOLTAGE : 220-240 / FREQUENCE : 50 REFRIGERANT : R600a NOMBRE DE PORTES : 2 Dimensions : Largeur : 43cm, Profondeur : 41cm, Hauteur : 82cm Poids : 16kg"
REFDES16-BF166D,Deska,réfrigérateur Deska combine 2tiroirs pm gris bf166dkg,froid,Réfrigérateurs,92000,frigo,jour,,Couleur: Gris | Garantie: 12 mois,images/REFDES16-BF166D-1.png,images/REFDES16-BF166D-1.png;images/REFDES16-BF166D-2.jpg,oui,"Marque : Deska Modèle : BF166DKG Type de réfrigérateur : Combiné 2 tiroirs Capacité totale : 166 litres Classe Energetique : A+ Dimension : largeur : 42cm, hauteur : 166cm, profondeur : 42cm Finition moderne en gris métallisé pour un style intemporel. Poignées ergonomiques intégrées pour une utilisation facile."
REFDES23-BF231D,Deska,réfrigérateur Deska combine 3tiroirs bf231dk,froid,Réfrigérateurs,205000,frigo,jour,,Garantie: 12 mois,images/REFDES23-BF231D-1.png,images/REFDES23-BF231D-1.png;images/REFDES23-BF231D-2.png;images/REFDES23-BF231D-3.png;images/REFDES23-BF231D-4.png;images/REFDES23-BF231D-5.png,oui,"Réfrigérateur Deska combiné : réfrigérateur en haut, congélateur en bas. 3 tiroirs de rangement. Clayettes réglables et bac à légumes. Garantie 12 mois, facture à notre nom. Livraison à Dakar, paiement à la livraison."
REFDES30-BF309D,Deska,réfrigérateur Deska combine 4tiroirs gris bf309dk,froid,Réfrigérateurs,187000,frigo,jour,,Couleur: Gris | Garantie: 12 mois,images/REFDES30-BF309D-1.jpg,images/REFDES30-BF309D-1.jpg,oui,"MARQUE : DESKA REFERENCE : BF-309DK CLASSE ENERGETIQUE : A+ COMBINE 4TIROIRS COULEUR : GRIS DIMENSIONS : HAUTEUR : 174cm, PROFONDEUR : 55cm, LARGEUR : 54cm"
REFDES33-BF333D,Deska,réfrigérateur Deska combine 5tiroirs gm gris bf333dk,froid,Réfrigérateurs,216500,frigo,jour,,Couleur: Gris | Garantie: 12 mois,images/REFDES33-BF333D-1.png,images/REFDES33-BF333D-1.png,oui,"Type de réfrigérateur: Réfrigérateur Combine 5tirroirs Marque: DESKA Volume totale : 251L Référence: BF-333DK Classe énergétique: A+ Dimension Hauteur : 1m 70 Largeur : 55cm Profondeur : 58cm Couleur: Silver Nombre de Portes: 2 Nombre de tiroirs: 5 Avec ce réfrigérateur DESKA, votre cuisine devient moderne et pratique. Vous optez également pour la fiabilité et le meilleur rapport qualité prix. Il est Fabriqué à partir de matériau de bonne qualité, ce qui le rend durable et sans problème."
REFDES62-SD62DK,Deska,réfrigérateur Deska mini bar sd62dk,froid,Réfrigérateurs,52000,frigo,jour,,Garantie: 12 mois,images/REFDES62-SD62DK-1.jpg,images/REFDES62-SD62DK-1.jpg,oui,MARQUE : DESKA MINI BAR REFERENCE : SD-62DK Classe énergétique : A Climate Type : ST/T Voltage : 220-240 Refrigerant : R600a Frequence : (HZ) : 50 Couleur: Gris-Noir Poids : 13kg
REFDES64-642SDK,Deska,réfrigérateur Deska side by side 4portes inverter gris sbs642dk,froid,Réfrigérateurs,392000,frigo,jour,,Type: Inverter | Couleur: Gris | Garantie: 12 mois,images/REFDES64-642SDK-1.jpg,images/REFDES64-642SDK-1.jpg,oui,"Type de produit: REFRIGERATEUR SIDE BY SIDE Marque: DESKA Référence: SBS-642DK Classe énergétique : A+ Nombre de portes: 4 Couleur: GRIS Dimension Hauteur : 1m 85 Largeur : 83cm Profondeur : 62cm Découvrez le réfrigérateur DESKA SIDE BY SIDE SBS-642DK, une véritable innovation alliant performance exceptionnelle et silence absolu. Son design exceptionnel, avec une finition soignée et des lignes épurées ajoutera une touche d’élégance à votre décoration intérieure."
REFDES41-RSC413,Deska,réfrigérateur Deska vertical vitrine rsc413dk,froid,Réfrigérateurs,234200,frigo,jour,,Type: Vertical | Garantie: 12 mois,images/REFDES41-RSC413-1.jpg,images/REFDES41-RSC413-1.jpg,oui,Modele : RSC-413DK Refrigerant : R134a Classe énergétique: A Réfrigeration vertical Porte: 1 vitrée
